LTLA,ts0300001,ts0300002,ts0300003,ts0300004,ts0300005,ts0300006,ts0300007,ts0300008,ts0300009,ts0300010
E09000027,195278,74076,88556,1593,4184,1262,8492,1987,1273,13855
E09000028,307637,111935,133298,2965,3444,1243,29633,632,2149,22338
E09000029,209640,67769,95960,1822,14666,407,14736,447,1244,12589
E09000030,310306,82635,69223,2961,6298,1341,123912,966,1652,21318
E09000031,278426,77739,108630,1834,5155,1268,60157,1285,2810,19548
E09000032,327506,118543,139656,2275,6419,1756,32519,967,1871,23500
E09000033,204235,52936,76245,2603,4457,5628,40873,573,1741,19179
W06000001,68879,28066,35485,154,62,30,328,30,278,4446
W06000002,117395,51941,54249,426,255,59,1137,46,770,8512
W06000003,114741,46946,58283,375,254,63,842,33,621,7324
W06000004,95817,40297,47226,320,209,48,740,38,483,6456
W06000005,154961,62995,79849,397,320,60,739,23,476,10102
W06000006,135117,56477,66880,404,333,51,1540,78,513,8841
W06000008,71476,30749,33409,378,158,75,515,35,677,5480
W06000009,123363,52998,60174,462,161,58,587,32,746,8145
W06000010,187899,83409,89378,557,419,103,1026,177,1127,11703
W06000011,238490,112687,98492,942,1010,159,7694,346,1175,15985
W06000012,142289,70941,59974,383,400,32,1062,151,630,8716
W06000013,145488,76141,58776,398,339,38,797,98,692,8209
W06000014,131943,63164,58237,420,440,143,1205,147,641,7546
W06000015,362311,155589,138885,1630,5434,690,33650,1517,2028,22888
W06000016,237652,133486,86474,588,497,72,1378,248,1083,13826
W06000018,175953,99767,63998,322,246,84,594,210,766,9966
W06000019,66904,37706,24392,119,76,10,287,108,309,3897
W06000020,92272,46872,38327,260,253,14,363,62,490,5631
W06000021,92959,40311,45250,339,204,79,435,102,519,5720
W06000022,159592,68564,68287,479,761,90,11280,415,739,8977
W06000023,133169,55971,65134,595,307,81,462,72,935,9612
W06000024,58839,31322,23614,127,110,5,289,82,229,3061
