LTLA,ts0750001,ts0750002,ts0750003,ts0750004,ts0750005,ts0750006,ts0750007
E07000246,69986,22397,1438,20536,15245,9932,438
E08000001,118790,36521,1804,49320,15906,14231,1008
E08000002,80695,24880,1246,30577,12359,10763,870
E08000003,214732,71577,3410,72524,39701,24357,3163
E08000004,93139,27396,1439,39527,13078,11041,658
E08000005,90223,27641,1305,35436,13904,11331,606
E08000006,115119,39141,1800,36161,21866,14943,1208
E08000007,126648,39439,1978,38779,26753,18740,959
E08000008,99527,32374,1464,31850,19939,13316,584
E08000009,96269,28369,1531,34172,17403,13830,964
E08000010,143106,43950,2017,55596,21191,19533,819
E08000011,66075,20645,959,26224,8451,9495,301
E08000012,207490,76340,2904,72720,27454,26138,1934
E08000013,81013,25561,1153,30367,12254,11235,443
E08000014,123073,41520,1821,45984,16195,16774,779
E08000015,143252,49688,2172,44177,26256,20189,770
E08000016,108051,33289,1799,33890,24581,14017,475
E08000017,133480,41667,2188,43246,28502,17070,807
E08000018,113925,34225,1938,37715,25095,14407,545
E08000019,231950,75759,3907,65275,57032,27925,2052
E08000021,122797,42031,1683,34909,26110,16734,1330
E08000022,96232,33553,1274,24814,22995,13142,454
E08000023,68287,24550,874,20509,13374,8680,300
E08000024,122175,40368,1512,38818,25314,15579,584
E08000025,423456,133224,8157,175071,56874,43749,6381
E08000026,134140,40777,2242,50824,21286,16719,2292
E08000027,137071,41709,2523,47660,26411,17791,977
E08000028,130246,38042,2346,55222,19152,13492,1992
E08000029,89483,25852,1482,33114,15133,13014,888
E08000030,112226,32129,1924,45242,18706,13101,1124
E08000031,105141,32468,1831,41932,15358,11794,1758
E08000032,209867,64596,3763,82141,34779,23105,1483
E08000033,90475,30308,1442,25647,20334,12286,458
E08000034,177989,55176,3209,61513,34525,22464,1102
E08000035,341466,111380,5495,101386,74623,45021,3561
E08000036,153074,46419,2582,47942,34666,20610,855
E08000037,89000,30807,987,26732,18544,11492,438
E09000001,4915,2506,105,810,900,512,82
E09000002,73900,17503,1445,38053,8702,6385,1812
E09000003,148917,41658,4619,64802,16439,15907,5492
E09000004,95299,24753,1920,35358,17958,13718,1592
