LTLA,ts0580001,ts0580002,ts0580003,ts0580004,ts0580005,ts0580006,ts0580007,ts0580008,ts0580009,ts0580010,ts0580011
E08000032,221139,28842,38445,30777,24935,5737,1476,1581,1952,55396,31998
E08000033,93381,11434,13584,12785,9424,3282,1098,592,803,27280,13099
E08000034,190086,22942,29011,25937,23816,6373,2295,1245,1650,49908,26909
E08000035,374064,37863,53123,54340,35846,9256,2959,2279,4622,126585,47191
E08000036,164641,18463,22509,23212,27684,6980,2379,956,1762,36965,23731
E08000037,87519,9378,14840,15288,9377,1742,441,574,957,23427,11495
E09000001,5348,676,385,241,82,15,7,9,28,3602,303
E09000002,94589,6478,11954,11182,16820,4677,1056,594,1032,19572,21224
E09000003,186176,12676,15501,23510,22122,2294,795,619,1162,79628,27869
E09000004,117984,7959,13246,13754,15404,4488,1014,591,835,40692,20001
E09000005,160994,13873,23212,23900,16535,2057,623,566,1478,48987,29763
E09000006,162122,9359,13633,15786,19654,4464,1046,495,841,75511,21333
E09000007,102513,9572,11530,9350,2928,562,192,247,593,58110,9429
E09000008,189407,13941,19863,23782,24188,4639,1006,797,1175,70976,29040
E09000009,175023,14152,20953,25070,18816,2623,704,687,1218,63137,27663
E09000010,143864,12252,17946,16531,20771,3068,1049,602,1073,44977,25595
E09000011,142934,9067,13805,17879,19159,2135,1090,618,1164,57959,20058
E09000012,134311,13715,16334,15674,5068,843,319,370,724,66844,14420
E09000013,98093,9057,11105,12067,3567,553,230,213,511,51319,9471
E09000014,134381,8994,11812,21803,11498,1642,481,425,923,55767,21036
E09000015,125037,8875,12883,13939,16161,3727,848,663,1140,45175,21626
E09000016,124784,9023,12603,12030,13443,9816,1670,674,823,41654,23048
E09000017,142805,11426,17575,20004,15907,6492,1261,677,1193,45193,23077
E09000018,138800,11506,19269,20792,14596,2943,904,526,1200,45047,22017
E09000019,114971,8926,15366,10635,3395,735,253,219,580,64530,10332
E09000020,69442,5634,8557,6076,1674,285,112,163,427,40010,6504
E09000021,84148,7951,8660,7750,7869,1543,435,272,479,39251,9938
E09000022,182819,10256,20798,27500,8821,1298,542,479,1032,91770,20323
E09000023,155712,9586,15739,22627,14511,1324,695,436,963,69977,19854
E09000024,112065,7964,12008,12582,11940,1292,464,317,667,48419,16412
E09000025,163447,13109,18566,23513,22586,3134,1211,867,1646,47737,31078
E09000026,141627,9479,12953,16676,20959,4293,1421,704,1265,49406,24471
E09000027,97565,6171,7734,7975,7543,1127,387,244,467,57322,8595
E09000028,166948,13354,23403,21496,7014,1171,614,524,1163,80842,17367
E09000029,104224,9304,13798,12352,10763,1813,504,364,586,38024,16716
E09000030,155394,14961,18779,17789,6560,1016,592,685,991,78219,15802
E09000031,140373,9939,12834,18624,16894,2100,811,493,996,52765,24917
E09000032,190443,11655,18303,23644,9786,1216,557,431,923,107639,16289
E09000033,101742,10299,13785,7140,2497,510,255,239,621,56766,9630
W06000001,29202,3427,2483,3145,3941,2312,1024,506,1138,6573,4653
W06000002,51818,7194,3807,5649,6019,3147,1777,1603,1942,12259,8421
W06000003,48723,6033,5733,5864,5588,2875,1138,1284,1270,11381,7557
W06000004,40846,5751,3772,5605,4558,3154,1670,987,863,8600,5886
W06000005,73823,6520,8775,11970,12964,4291,1639,1004,1310,16269,9081
W06000006,61805,7398,11045,10181,7854,3131,1285,939,938,11277,7757
W06000008,30119,4011,1842,2670,2565,1549,992,992,1165,9524,4809
W06000009,52765,6915,4566,6074,7790,2742,1116,962,1482,12179,8939
W06000010,81951,9864,7382,6726,13855,6504,2072,1824,2140,19243,12341
W06000011,100613,11575,17665,17719,8857,1795,1431,1294,1828,25495,12954
W06000012,59189,6188,6612,9459,10054,3189,953,1209,931,12464,8130
W06000013,63985,7612,7547,7999,8991,4823,2252,626,941,14375,8819
W06000014,59915,6402,5552,8301,7103,2537,701,622,766,20395,7536
W06000015,160439,19755,26481,19571,8995,3865,1831,1643,2220,57855,18223
W06000016,103389,9001,10601,14476,18360,7519,2379,827,1468,22563,16195
W06000018,77437,7881,8955,11158,13894,3622,854,777,890,18473,10933
W06000019,28800,3488,4271,3603,5359,2106,852,618,437,4036,4030
W06000020,40655,5084,5442,6022,5481,2180,735,467,548,9051,5645
W06000021,42830,4682,1899,3222,5448,3497,1793,938,931,14708,5712
W06000022,72790,8188,11848,8800,7255,4570,1489,702,995,20385,8558
W06000023,61726,8048,3139,4012,6316,4010,2075,2288,2993,18698,10147
W06000024,25632,3903,3968,2399,3001,1986,999,241,348,4666,4121
