LTLA,ts0390001,ts0390002,ts0390003,ts0390004,ts0390005,ts0390006,ts0390007,ts0390008,ts0390009
E09000003,365238,336430,15512,11236,4276,5968,2860,3108,7328
E09000004,231442,212158,9486,6775,2711,4026,1870,2156,5772
E09000005,319846,297010,10434,6967,3467,6024,2843,3181,6378
E09000006,310500,285138,14046,10585,3461,4671,2271,2400,6645
E09000007,200104,185499,7853,5791,2062,3192,1551,1641,3560
E09000008,365548,336717,14366,10251,4115,6630,3143,3487,7835
E09000009,345600,321291,11717,8062,3655,6036,2854,3182,6556
E09000010,308725,284114,11523,7895,3628,5981,2775,3206,7107
E09000011,270042,250651,8844,6285,2559,4636,2155,2481,5911
E09000012,243011,226689,7763,5574,2189,4152,1875,2277,4407
E09000013,174085,163347,5521,4038,1483,2480,1146,1334,2737
E09000014,249306,232415,8466,6056,2410,4056,1848,2208,4369
E09000015,245503,225468,10225,7119,3106,4535,2258,2277,5275
E09000016,245561,224924,10161,7297,2864,4182,2003,2179,6294
E09000017,286028,263565,11009,7878,3131,5005,2349,2656,6449
E09000018,269960,250557,8910,6107,2803,4898,2354,2544,5595
E09000019,205377,190537,7465,5465,2000,3443,1597,1846,3932
E09000020,137204,127865,4977,3705,1272,2046,1022,1024,2316
E09000021,158504,146993,6372,4828,1544,2249,1113,1136,2890
E09000022,302389,283550,9947,7343,2604,4424,2036,2388,4468
E09000023,281426,261469,10067,7311,2756,4757,2143,2614,5133
E09000024,201655,187762,7156,5171,1985,2987,1443,1544,3750
E09000025,327182,305626,8654,5582,3072,6322,2795,3527,6580
E09000026,289066,267671,10439,7123,3316,5103,2581,2522,5853
E09000027,184175,171029,8062,6250,1812,2085,970,1115,2999
E09000028,291275,272453,9290,6848,2442,4589,2094,2495,4943
E09000029,196843,180970,8243,6019,2224,3183,1514,1669,4447
E09000030,291216,272665,8090,5478,2612,5162,2279,2883,5299
E09000031,259441,241160,8802,6214,2588,4430,2119,2311,5049
E09000032,308802,291097,9567,7163,2404,3883,1780,2103,4255
E09000033,195734,182218,6685,4817,1868,3317,1469,1848,3514
W06000001,65667,58921,3025,2118,907,1373,656,717,2348
W06000002,112042,102054,4562,3265,1297,1912,902,1010,3514
W06000003,109711,98071,5160,3627,1533,2284,1090,1194,4196
W06000004,91048,80879,4253,2887,1366,2190,1028,1162,3726
W06000005,147336,132074,7328,5172,2156,3058,1453,1605,4876
W06000006,128119,115261,5746,3994,1752,2772,1253,1519,4340
W06000008,68766,61520,3582,2581,1001,1326,687,639,2338
W06000009,117777,104887,5828,4115,1713,2693,1243,1450,4369
W06000010,178840,158454,8778,6006,2772,4231,2073,2158,7377
W06000011,227061,202355,11081,7526,3555,5110,2460,2650,8515
W06000012,135244,118688,6451,4184,2267,3897,1792,2105,6208
W06000013,138145,122836,6360,4314,2046,3376,1549,1827,5573
W06000014,125088,112165,6473,4695,1778,2445,1244,1201,4005
W06000015,343238,314251,14186,10140,4046,6160,2996,3164,8641
W06000016,225119,200129,10116,6635,3481,5556,2515,3041,9318
W06000018,166734,147666,7583,5040,2543,4339,1967,2372,7146
W06000019,63359,56125,2696,1714,982,1753,776,977,2785
W06000020,87274,77341,4222,2859,1363,2197,1011,1186,3514
W06000021,88995,79794,4952,3647,1305,1609,837,772,2640
W06000022,149859,134884,6674,4618,2056,3380,1595,1785,4921
W06000023,127438,113975,6937,4998,1939,2422,1220,1202,4104
W06000024,55538,49326,2326,1423,903,1511,688,823,2375
