LTLA,ts0250001,ts0250002,ts0250003,ts0250004,ts0250005
E09000011,114052,88798,10348,3327,11579
E09000012,106079,77358,13754,2606,12361
E09000013,81244,59132,9044,1922,11146
E09000014,105092,70236,13424,3560,17872
E09000015,89642,56644,12961,4368,15669
E09000016,101277,89573,4827,2053,4824
E09000017,109228,80103,11547,4657,12921
E09000018,102961,66993,13859,5070,17039
E09000019,96496,72552,10722,2028,11194
E09000020,66884,47066,7558,1361,10899
E09000021,65626,51534,6051,1872,6169
E09000022,134688,103932,13866,2896,13994
E09000023,122392,97653,10538,3094,11107
E09000024,81729,60615,8891,2993,9230
E09000025,115507,64166,21748,6897,22696
E09000026,103713,68376,15884,5084,14369
E09000027,80704,68722,5574,1604,4804
E09000028,130817,100632,12898,3003,14284
E09000029,82351,68161,5564,2741,5885
E09000030,120540,75824,21855,3924,18937
E09000031,102901,74555,12697,3720,11929
E09000032,137393,107645,13023,3148,13577
E09000033,94815,63128,12257,1990,17440
W06000001,30822,30459,186,29,148
W06000002,51105,49653,649,129,674
W06000003,52235,51027,586,139,483
W06000004,42387,41559,388,108,332
W06000005,66911,64291,814,345,1461
W06000006,57914,54746,835,463,1870
W06000008,30892,29934,489,78,391
W06000009,55487,54495,501,93,398
W06000010,81759,79596,758,247,1158
W06000011,104962,99213,2143,750,2856
W06000012,62376,61354,510,117,395
W06000013,62360,61063,544,173,580
W06000014,57450,55987,676,313,474
W06000015,147331,131662,6284,1976,7409
W06000016,103339,101433,922,192,792
W06000018,76256,75078,514,175,489
W06000019,30340,29682,216,101,341
W06000020,40241,39543,329,78,291
W06000021,40923,40099,422,87,315
W06000022,66055,61138,1920,657,2340
W06000023,60181,58908,510,147,616
W06000024,25783,24646,265,196,676
